Parameters;fold1;fold2;fold3;fold4;fold5
OCSVM_RBF_0.0001_scale_;{'-1': {'precision': 0.3888888888888889, 'recall': 0.026515151515151516, 'f1-score': 0.04964539007092199, 'support': 264}, '1': {'precision': 0.5029013539651838, 'recall': 0.959409594095941, 'f1-score': 0.6598984771573604, 'support': 271}, 'accuracy': 0.49906542056074765, 'macro avg': {'precision': 0.44589512142703636, 'recall': 0.4929623728055462, 'f1-score': 0.35477193361414117, 'support': 535}, 'weighted avg': {'precision': 0.44664099736678786, 'recall': 0.49906542056074765, 'f1-score': 0.35876424352965997, 'support': 535}};{'-1': {'precision': 0.42857142857142855, 'recall': 0.022727272727272728, 'f1-score': 0.04316546762589928, 'support': 264}, '1': {'precision': 0.5047984644913628, 'recall': 0.9704797047970479, 'f1-score': 0.6641414141414141, 'support': 271}, 'accuracy': 0.502803738317757, 'macro avg': {'precision': 0.4666849465313957, 'recall': 0.4966034887621603, 'f1-score': 0.3536534408836567, 'support': 535}, 'weighted avg': {'precision': 0.4671836280747971, 'recall': 0.502803738317757, 'f1-score': 0.3577159003468423, 'support': 535}};{'-1': {'precision': 0.46153846153846156, 'recall': 0.022727272727272728, 'f1-score': 0.04332129963898917, 'support': 264}, '1': {'precision': 0.5057471264367817, 'recall': 0.974169741697417, 'f1-score': 0.6658259773013873, 'support': 271}, 'accuracy': 0.5046728971962616, 'macro avg': {'precision': 0.4836427939876216, 'recall': 0.49844850721234485, 'f1-score': 0.3545736384701882, 'support': 535}, 'weighted avg': {'precision': 0.4839320095523769, 'recall': 0.5046728971962616, 'f1-score': 0.35864609897825994, 'support': 535}};{'-1': {'precision': 0.35714285714285715, 'recall': 0.01893939393939394, 'f1-score': 0.03597122302158273, 'support': 264}, '1': {'precision': 0.5019230769230769, 'recall': 0.9666666666666667, 'f1-score': 0.660759493670886, 'support': 270}, 'accuracy': 0.49812734082397003, 'macro avg': {'precision': 0.42953296703296706, 'recall': 0.4928030303030303, 'f1-score': 0.3483653583462344, 'support': 534}, 'weighted avg': {'precision': 0.4303463390542042, 'recall': 0.49812734082397003, 'f1-score': 0.35187540481055635, 'support': 534}};{'-1': {'precision': 0.5555555555555556, 'recall': 0.01893939393939394, 'f1-score': 0.03663003663003663, 'support': 264}, '1': {'precision': 0.5066666666666667, 'recall': 0.9851851851851852, 'f1-score': 0.669182389937107, 'support': 270}, 'accuracy': 0.5074906367041199, 'macro avg': {'precision': 0.5311111111111111, 'recall': 0.5020622895622896, 'f1-score': 0.3529062132835718, 'support': 534}, 'weighted avg': {'precision': 0.5308364544319601, 'recall': 0.5074906367041199, 'f1-score': 0.3564598781897913, 'support': 534}}
OCSVM_RBF_0.001_scale_;{'-1': {'precision': 0.4, 'recall': 0.022727272727272728, 'f1-score': 0.043010752688172046, 'support': 264}, '1': {'precision': 0.5038461538461538, 'recall': 0.966789667896679, 'f1-score': 0.6624525916561315, 'support': 271}, 'accuracy': 0.5009345794392523, 'macro avg': {'precision': 0.4519230769230769, 'recall': 0.49475847031197584, 'f1-score': 0.35273167217215173, 'support': 535}, 'weighted avg': {'precision': 0.4526024442846873, 'recall': 0.5009345794392523, 'f1-score': 0.3567840954177365, 'support': 535}};{'-1': {'precision': 0.46153846153846156, 'recall': 0.022727272727272728, 'f1-score': 0.04332129963898917, 'support': 264}, '1': {'precision': 0.5057471264367817, 'recall': 0.974169741697417, 'f1-score': 0.6658259773013873, 'support': 271}, 'accuracy': 0.5046728971962616, 'macro avg': {'precision': 0.4836427939876216, 'recall': 0.49844850721234485, 'f1-score': 0.3545736384701882, 'support': 535}, 'weighted avg': {'precision': 0.4839320095523769, 'recall': 0.5046728971962616, 'f1-score': 0.35864609897825994, 'support': 535}};{'-1': {'precision': 0.6, 'recall': 0.022727272727272728, 'f1-score': 0.043795620437956206, 'support': 264}, '1': {'precision': 0.5085714285714286, 'recall': 0.985239852398524, 'f1-score': 0.6708542713567838, 'support': 271}, 'accuracy': 0.5102803738317757, 'macro avg': {'precision': 0.5542857142857143, 'recall': 0.5039835625628983, 'f1-score': 0.35732494589736996, 'support': 535}, 'weighted avg': {'precision': 0.5536875834445928, 'recall': 0.5102803738317757, 'f1-score': 0.36142719875384827, 'support': 535}};{'-1': {'precision': 0.4166666666666667, 'recall': 0.01893939393939394, 'f1-score': 0.036231884057971016, 'support': 264}, '1': {'precision': 0.5038314176245211, 'recall': 0.9740740740740741, 'f1-score': 0.6641414141414141, 'support': 270}, 'accuracy': 0.50187265917603, 'macro avg': {'precision': 0.4602490421455939, 'recall': 0.496506734006734, 'f1-score': 0.3501866490996926, 'support': 534}, 'weighted avg': {'precision': 0.4607387317577167, 'recall': 0.50187265917603, 'f1-score': 0.3537142307293748, 'support': 534}};{'-1': {'precision': 0.5, 'recall': 0.01893939393939394, 'f1-score': 0.03649635036496351, 'support': 264}, '1': {'precision': 0.5057251908396947, 'recall': 0.9814814814814815, 'f1-score': 0.6675062972292193, 'support': 270}, 'accuracy': 0.5056179775280899, 'macro avg': {'precision': 0.5028625954198473, 'recall': 0.5002104377104377, 'f1-score': 0.35200132379709137, 'support': 534}, 'weighted avg': {'precision': 0.5028947594133288, 'recall': 0.5056179775280899, 'f1-score': 0.355546323498576, 'support': 534}}
OCSVM_RBF_0.005_scale_;{'-1': {'precision': 0.375, 'recall': 0.022727272727272728, 'f1-score': 0.04285714285714286, 'support': 264}, '1': {'precision': 0.5028901734104047, 'recall': 0.9630996309963099, 'f1-score': 0.660759493670886, 'support': 271}, 'accuracy': 0.49906542056074765, 'macro avg': {'precision': 0.4389450867052023, 'recall': 0.4929134518617913, 'f1-score': 0.35180831826401443, 'support': 535}, 'weighted avg': {'precision': 0.4397817513910648, 'recall': 0.49906542056074765, 'f1-score': 0.3558506700917679, 'support': 535}};{'-1': {'precision': 0.46153846153846156, 'recall': 0.022727272727272728, 'f1-score': 0.04332129963898917, 'support': 264}, '1': {'precision': 0.5057471264367817, 'recall': 0.974169741697417, 'f1-score': 0.6658259773013873, 'support': 271}, 'accuracy': 0.5046728971962616, 'macro avg': {'precision': 0.4836427939876216, 'recall': 0.49844850721234485, 'f1-score': 0.3545736384701882, 'support': 535}, 'weighted avg': {'precision': 0.4839320095523769, 'recall': 0.5046728971962616, 'f1-score': 0.35864609897825994, 'support': 535}};{'-1': {'precision': 0.5, 'recall': 0.022727272727272728, 'f1-score': 0.04347826086956522, 'support': 264}, '1': {'precision': 0.5066921606118547, 'recall': 0.977859778597786, 'f1-score': 0.6675062972292192, 'support': 271}, 'accuracy': 0.5065420560747663, 'macro avg': {'precision': 0.5033460803059273, 'recall': 0.5002935256625294, 'f1-score': 0.3554922790493922, 'support': 535}, 'weighted avg': {'precision': 0.5033898607959115, 'recall': 0.5065420560747663, 'f1-score': 0.35957470545548337, 'support': 535}};{'-1': {'precision': 0.4166666666666667, 'recall': 0.01893939393939394, 'f1-score': 0.036231884057971016, 'support': 264}, '1': {'precision': 0.5038314176245211, 'recall': 0.9740740740740741, 'f1-score': 0.6641414141414141, 'support': 270}, 'accuracy': 0.50187265917603, 'macro avg': {'precision': 0.4602490421455939, 'recall': 0.496506734006734, 'f1-score': 0.3501866490996926, 'support': 534}, 'weighted avg': {'precision': 0.4607387317577167, 'recall': 0.50187265917603, 'f1-score': 0.3537142307293748, 'support': 534}};{'-1': {'precision': 0.5555555555555556, 'recall': 0.01893939393939394, 'f1-score': 0.03663003663003663, 'support': 264}, '1': {'precision': 0.5066666666666667, 'recall': 0.9851851851851852, 'f1-score': 0.669182389937107, 'support': 270}, 'accuracy': 0.5074906367041199, 'macro avg': {'precision': 0.5311111111111111, 'recall': 0.5020622895622896, 'f1-score': 0.3529062132835718, 'support': 534}, 'weighted avg': {'precision': 0.5308364544319601, 'recall': 0.5074906367041199, 'f1-score': 0.3564598781897913, 'support': 534}}
OCSVM_RBF_0.01_scale_;{'-1': {'precision': 0.2857142857142857, 'recall': 0.022727272727272728, 'f1-score': 0.042105263157894736, 'support': 264}, '1': {'precision': 0.4980544747081712, 'recall': 0.9446494464944649, 'f1-score': 0.6522292993630573, 'support': 271}, 'accuracy': 0.4897196261682243, 'macro avg': {'precision': 0.39188438021122846, 'recall': 0.4836883596108688, 'f1-score': 0.347167281260476, 'support': 535}, 'weighted avg': {'precision': 0.3932735216345529, 'recall': 0.4897196261682243, 'f1-score': 0.35115874691789295, 'support': 535}};{'-1': {'precision': 0.46153846153846156, 'recall': 0.022727272727272728, 'f1-score': 0.04332129963898917, 'support': 264}, '1': {'precision': 0.5057471264367817, 'recall': 0.974169741697417, 'f1-score': 0.6658259773013873, 'support': 271}, 'accuracy': 0.5046728971962616, 'macro avg': {'precision': 0.4836427939876216, 'recall': 0.49844850721234485, 'f1-score': 0.3545736384701882, 'support': 535}, 'weighted avg': {'precision': 0.4839320095523769, 'recall': 0.5046728971962616, 'f1-score': 0.35864609897825994, 'support': 535}};{'-1': {'precision': 0.6, 'recall': 0.022727272727272728, 'f1-score': 0.043795620437956206, 'support': 264}, '1': {'precision': 0.5085714285714286, 'recall': 0.985239852398524, 'f1-score': 0.6708542713567838, 'support': 271}, 'accuracy': 0.5102803738317757, 'macro avg': {'precision': 0.5542857142857143, 'recall': 0.5039835625628983, 'f1-score': 0.35732494589736996, 'support': 535}, 'weighted avg': {'precision': 0.5536875834445928, 'recall': 0.5102803738317757, 'f1-score': 0.36142719875384827, 'support': 535}};{'-1': {'precision': 0.4166666666666667, 'recall': 0.01893939393939394, 'f1-score': 0.036231884057971016, 'support': 264}, '1': {'precision': 0.5038314176245211, 'recall': 0.9740740740740741, 'f1-score': 0.6641414141414141, 'support': 270}, 'accuracy': 0.50187265917603, 'macro avg': {'precision': 0.4602490421455939, 'recall': 0.496506734006734, 'f1-score': 0.3501866490996926, 'support': 534}, 'weighted avg': {'precision': 0.4607387317577167, 'recall': 0.50187265917603, 'f1-score': 0.3537142307293748, 'support': 534}};{'-1': {'precision': 0.5, 'recall': 0.01893939393939394, 'f1-score': 0.03649635036496351, 'support': 264}, '1': {'precision': 0.5057251908396947, 'recall': 0.9814814814814815, 'f1-score': 0.6675062972292193, 'support': 270}, 'accuracy': 0.5056179775280899, 'macro avg': {'precision': 0.5028625954198473, 'recall': 0.5002104377104377, 'f1-score': 0.35200132379709137, 'support': 534}, 'weighted avg': {'precision': 0.5028947594133288, 'recall': 0.5056179775280899, 'f1-score': 0.355546323498576, 'support': 534}}
OCSVM_RBF_0.05_scale_;{'-1': {'precision': 0.358974358974359, 'recall': 0.05303030303030303, 'f1-score': 0.0924092409240924, 'support': 264}, '1': {'precision': 0.4959677419354839, 'recall': 0.9077490774907749, 'f1-score': 0.6414602346805737, 'support': 271}, 'accuracy': 0.48598130841121495, 'macro avg': {'precision': 0.4274710504549214, 'recall': 0.48038969026053896, 'f1-score': 0.36693473780233304, 'support': 535}, 'weighted avg': {'precision': 0.42836726884812504, 'recall': 0.48598130841121495, 'f1-score': 0.37052666019139413, 'support': 535}};{'-1': {'precision': 0.3793103448275862, 'recall': 0.041666666666666664, 'f1-score': 0.0750853242320819, 'support': 264}, '1': {'precision': 0.5, 'recall': 0.933579335793358, 'f1-score': 0.6512226512226512, 'support': 271}, 'accuracy': 0.4934579439252336, 'macro avg': {'precision': 0.4396551724137931, 'recall': 0.4876230012300123, 'f1-score': 0.36315398772736657, 'support': 535}, 'weighted avg': {'precision': 0.4404447309055752, 'recall': 0.4934579439252336, 'f1-score': 0.36692311042730485, 'support': 535}};{'-1': {'precision': 0.44, 'recall': 0.041666666666666664, 'f1-score': 0.07612456747404844, 'support': 264}, '1': {'precision': 0.503921568627451, 'recall': 0.948339483394834, 'f1-score': 0.6581306017925737, 'support': 271}, 'accuracy': 0.5009345794392523, 'macro avg': {'precision': 0.47196078431372546, 'recall': 0.4950030750307503, 'f1-score': 0.3671275846333111, 'support': 535}, 'weighted avg': {'precision': 0.4723789628000733, 'recall': 0.5009345794392523, 'f1-score': 0.37093510074567526, 'support': 535}};{'-1': {'precision': 0.46875, 'recall': 0.056818181818181816, 'f1-score': 0.10135135135135136, 'support': 264}, '1': {'precision': 0.5039840637450199, 'recall': 0.937037037037037, 'f1-score': 0.655440414507772, 'support': 270}, 'accuracy': 0.50187265917603, 'macro avg': {'precision': 0.48636703187250996, 'recall': 0.4969276094276094, 'f1-score': 0.37839588292956167, 'support': 534}, 'weighted avg': {'precision': 0.4865649760508528, 'recall': 0.50187265917603, 'f1-score': 0.3815087428349348, 'support': 534}};{'-1': {'precision': 0.5789473684210527, 'recall': 0.041666666666666664, 'f1-score': 0.07773851590106007, 'support': 264}, '1': {'precision': 0.5087378640776699, 'recall': 0.9703703703703703, 'f1-score': 0.6675159235668789, 'support': 270}, 'accuracy': 0.5112359550561798, 'macro avg': {'precision': 0.5438426162493613, 'recall': 0.5060185185185185, 'f1-score': 0.3726272197339695, 'support': 534}, 'weighted avg': {'precision': 0.5434481808317018, 'recall': 0.5112359550561798, 'f1-score': 0.3759405759568112, 'support': 534}}
OCSVM_RBF_0.1_scale_;{'-1': {'precision': 0.4230769230769231, 'recall': 0.08333333333333333, 'f1-score': 0.13924050632911392, 'support': 264}, '1': {'precision': 0.4989648033126294, 'recall': 0.8892988929889298, 'f1-score': 0.6392572944297081, 'support': 271}, 'accuracy': 0.491588785046729, 'macro avg': {'precision': 0.4610208631947762, 'recall': 0.4863161131611316, 'f1-score': 0.389248900379411, 'support': 535}, 'weighted avg': {'precision': 0.46151732596267336, 'recall': 0.491588785046729, 'f1-score': 0.3925200382454897, 'support': 535}};{'-1': {'precision': 0.46808510638297873, 'recall': 0.08333333333333333, 'f1-score': 0.1414790996784566, 'support': 264}, '1': {'precision': 0.5040983606557377, 'recall': 0.9077490774907749, 'f1-score': 0.6482213438735177, 'support': 271}, 'accuracy': 0.5009345794392523, 'macro avg': {'precision': 0.4860917335193582, 'recall': 0.49554120541205415, 'f1-score': 0.39485022177598716, 'support': 535}, 'weighted avg': {'precision': 0.4863273342482454, 'recall': 0.5009345794392523, 'f1-score': 0.39816535795296415, 'support': 535}};{'-1': {'precision': 0.47540983606557374, 'recall': 0.10984848484848485, 'f1-score': 0.17846153846153845, 'support': 264}, '1': {'precision': 0.5042194092827004, 'recall': 0.8819188191881919, 'f1-score': 0.6416107382550336, 'support': 271}, 'accuracy': 0.5009345794392523, 'macro avg': {'precision': 0.48981462267413706, 'recall': 0.4958836520183384, 'f1-score': 0.410036138358286, 'support': 535}, 'weighted avg': {'precision': 0.49000309651761353, 'recall': 0.5009345794392523, 'f1-score': 0.4130660863943182, 'support': 535}};{'-1': {'precision': 0.43636363636363634, 'recall': 0.09090909090909091, 'f1-score': 0.1504702194357367, 'support': 264}, '1': {'precision': 0.4989561586638831, 'recall': 0.8851851851851852, 'f1-score': 0.6381842456608812, 'support': 270}, 'accuracy': 0.49250936329588013, 'macro avg': {'precision': 0.4676598975137597, 'recall': 0.48804713804713806, 'f1-score': 0.3943272325483089, 'support': 534}, 'weighted avg': {'precision': 0.46801154089746894, 'recall': 0.49250936329588013, 'f1-score': 0.39706719898777604, 'support': 534}};{'-1': {'precision': 0.4878048780487805, 'recall': 0.07575757575757576, 'f1-score': 0.13114754098360656, 'support': 264}, '1': {'precision': 0.5050709939148073, 'recall': 0.9222222222222223, 'f1-score': 0.6526867627785058, 'support': 270}, 'accuracy': 0.5037453183520599, 'macro avg': {'precision': 0.49643793598179387, 'recall': 0.49898989898989904, 'f1-score': 0.3919171518810562, 'support': 534}, 'weighted avg': {'precision': 0.49653493663272663, 'recall': 0.5037453183520599, 'f1-score': 0.39484714750911737, 'support': 534}}
OCSVM_RBF_0.2_scale_;{'-1': {'precision': 0.5357142857142857, 'recall': 0.22727272727272727, 'f1-score': 0.3191489361702128, 'support': 264}, '1': {'precision': 0.5177304964539007, 'recall': 0.8081180811808119, 'f1-score': 0.6311239193083573, 'support': 271}, 'accuracy': 0.5214953271028038, 'macro avg': {'precision': 0.5267223910840932, 'recall': 0.5176954042267695, 'f1-score': 0.47513642773928505, 'support': 535}, 'weighted avg': {'precision': 0.526604740126315, 'recall': 0.5214953271028038, 'f1-score': 0.47717738557289907, 'support': 535}};{'-1': {'precision': 0.5178571428571429, 'recall': 0.2196969696969697, 'f1-score': 0.30851063829787234, 'support': 264}, '1': {'precision': 0.5130023640661938, 'recall': 0.8007380073800738, 'f1-score': 0.6253602305475504, 'support': 271}, 'accuracy': 0.514018691588785, 'macro avg': {'precision': 0.5154297534616683, 'recall': 0.5102174885385218, 'f1-score': 0.46693543442271135, 'support': 535}, 'weighted avg': {'precision': 0.5153979932265873, 'recall': 0.514018691588785, 'f1-score': 0.46900828222247565, 'support': 535}};{'-1': {'precision': 0.5169491525423728, 'recall': 0.23106060606060605, 'f1-score': 0.31937172774869105, 'support': 264}, '1': {'precision': 0.513189448441247, 'recall': 0.7896678966789668, 'f1-score': 0.622093023255814, 'support': 271}, 'accuracy': 0.514018691588785, 'macro avg': {'precision': 0.5150693004918099, 'recall': 0.5103642513697864, 'f1-score': 0.4707323755022525, 'support': 535}, 'weighted avg': {'precision': 0.5150447042967559, 'recall': 0.514018691588785, 'f1-score': 0.47271279519248605, 'support': 535}};{'-1': {'precision': 0.5042735042735043, 'recall': 0.22348484848484848, 'f1-score': 0.3097112860892388, 'support': 264}, '1': {'precision': 0.5083932853717026, 'recall': 0.7851851851851852, 'f1-score': 0.6171761280931586, 'support': 270}, 'accuracy': 0.5074906367041199, 'macro avg': {'precision': 0.5063333948226034, 'recall': 0.5043350168350168, 'f1-score': 0.4634437070911987, 'support': 534}, 'weighted avg': {'precision': 0.5063565396602338, 'recall': 0.5074906367041199, 'f1-score': 0.46517103766425444, 'support': 534}};{'-1': {'precision': 0.5169491525423728, 'recall': 0.23106060606060605, 'f1-score': 0.31937172774869105, 'support': 264}, '1': {'precision': 0.5120192307692307, 'recall': 0.7888888888888889, 'f1-score': 0.6209912536443148, 'support': 270}, 'accuracy': 0.5131086142322098, 'macro avg': {'precision': 0.5144841916558018, 'recall': 0.5099747474747475, 'f1-score': 0.47018149069650295, 'support': 534}, 'weighted avg': {'precision': 0.5144564954660651, 'recall': 0.5131086142322098, 'f1-score': 0.4718759824150177, 'support': 534}}
OCSVM_RBF_0.3_scale_;{'-1': {'precision': 0.49122807017543857, 'recall': 0.3181818181818182, 'f1-score': 0.3862068965517242, 'support': 264}, '1': {'precision': 0.5054945054945055, 'recall': 0.6789667896678967, 'f1-score': 0.5795275590551181, 'support': 271}, 'accuracy': 0.5009345794392523, 'macro avg': {'precision': 0.498361287834972, 'recall': 0.49857430392485746, 'f1-score': 0.4828672278034212, 'support': 535}, 'weighted avg': {'precision': 0.49845461965481636, 'recall': 0.5009345794392523, 'f1-score': 0.4841319424179293, 'support': 535}};{'-1': {'precision': 0.5256410256410257, 'recall': 0.3106060606060606, 'f1-score': 0.3904761904761905, 'support': 264}, '1': {'precision': 0.5197889182058048, 'recall': 0.7269372693726938, 'f1-score': 0.6061538461538462, 'support': 271}, 'accuracy': 0.5214953271028038, 'macro avg': {'precision': 0.5227149719234152, 'recall': 0.5187716649893772, 'f1-score': 0.49831501831501834, 'support': 535}, 'weighted avg': {'precision': 0.5226766871084184, 'recall': 0.5214953271028038, 'f1-score': 0.49972599363253567, 'support': 535}};{'-1': {'precision': 0.5, 'recall': 0.3143939393939394, 'f1-score': 0.38604651162790693, 'support': 264}, '1': {'precision': 0.5094850948509485, 'recall': 0.6937269372693727, 'f1-score': 0.5875, 'support': 271}, 'accuracy': 0.5065420560747663, 'macro avg': {'precision': 0.5047425474254743, 'recall': 0.504060438331656, 'f1-score': 0.4867732558139535, 'support': 535}, 'weighted avg': {'precision': 0.5048045994478637, 'recall': 0.5065420560747663, 'f1-score': 0.48809117583134104, 'support': 535}};{'-1': {'precision': 0.47928994082840237, 'recall': 0.3068181818181818, 'f1-score': 0.37413394919168586, 'support': 264}, '1': {'precision': 0.4986301369863014, 'recall': 0.674074074074074, 'f1-score': 0.573228346456693, 'support': 270}, 'accuracy': 0.49250936329588013, 'macro avg': {'precision': 0.48896003890735185, 'recall': 0.49044612794612796, 'f1-score': 0.4736811478241894, 'support': 534}, 'weighted avg': {'precision': 0.48906869169475575, 'recall': 0.49250936329588013, 'f1-score': 0.47479965567399285, 'support': 534}};{'-1': {'precision': 0.49101796407185627, 'recall': 0.3106060606060606, 'f1-score': 0.3805104408352668, 'support': 264}, '1': {'precision': 0.5040871934604905, 'recall': 0.6851851851851852, 'f1-score': 0.5808477237048666, 'support': 270}, 'accuracy': 0.5, 'macro avg': {'precision': 0.49755257876617337, 'recall': 0.49789562289562295, 'f1-score': 0.4806790822700667, 'support': 534}, 'weighted avg': {'precision': 0.4976260014031882, 'recall': 0.5, 'f1-score': 0.48180457262326676, 'support': 534}}
OCSVM_RBF_0.4_scale_;{'-1': {'precision': 0.49038461538461536, 'recall': 0.38636363636363635, 'f1-score': 0.4322033898305085, 'support': 264}, '1': {'precision': 0.5045871559633027, 'recall': 0.6088560885608856, 'f1-score': 0.5518394648829432, 'support': 271}, 'accuracy': 0.49906542056074765, 'macro avg': {'precision': 0.497485885673959, 'recall': 0.49760986246226097, 'f1-score': 0.4920214273567258, 'support': 535}, 'weighted avg': {'precision': 0.49757879949082895, 'recall': 0.49906542056074765, 'f1-score': 0.4928040932682838, 'support': 535}};{'-1': {'precision': 0.5049019607843137, 'recall': 0.39015151515151514, 'f1-score': 0.44017094017094016, 'support': 264}, '1': {'precision': 0.513595166163142, 'recall': 0.6273062730627307, 'f1-score': 0.5647840531561462, 'support': 271}, 'accuracy': 0.5102803738317757, 'macro avg': {'precision': 0.5092485634737278, 'recall': 0.5087288941071229, 'f1-score': 0.5024774966635432, 'support': 535}, 'weighted avg': {'precision': 0.5093054349107856, 'recall': 0.5102803738317757, 'f1-score': 0.5032927226363436, 'support': 535}};{'-1': {'precision': 0.4796380090497738, 'recall': 0.4015151515151515, 'f1-score': 0.4371134020618557, 'support': 264}, '1': {'precision': 0.4968152866242038, 'recall': 0.5756457564575646, 'f1-score': 0.5333333333333333, 'support': 271}, 'accuracy': 0.4897196261682243, 'macro avg': {'precision': 0.48822664783698877, 'recall': 0.488580453986358, 'f1-score': 0.48522336769759455, 'support': 535}, 'weighted avg': {'precision': 0.48833902255009254, 'recall': 0.4897196261682243, 'f1-score': 0.4858528438834827, 'support': 535}};{'-1': {'precision': 0.4694835680751174, 'recall': 0.3787878787878788, 'f1-score': 0.41928721174004197, 'support': 264}, '1': {'precision': 0.48909657320872274, 'recall': 0.5814814814814815, 'f1-score': 0.5313028764805415, 'support': 270}, 'accuracy': 0.4812734082397004, 'macro avg': {'precision': 0.4792900706419201, 'recall': 0.48013468013468014, 'f1-score': 0.4752950441102918, 'support': 534}, 'weighted avg': {'precision': 0.479400256064019, 'recall': 0.4812734082397004, 'f1-score': 0.47592434559759794, 'support': 534}};{'-1': {'precision': 0.4608294930875576, 'recall': 0.3787878787878788, 'f1-score': 0.41580041580041577, 'support': 264}, '1': {'precision': 0.48264984227129337, 'recall': 0.5666666666666667, 'f1-score': 0.5212947189097105, 'support': 270}, 'accuracy': 0.4737827715355805, 'macro avg': {'precision': 0.4717396676794255, 'recall': 0.4727272727272727, 'f1-score': 0.4685475673550631, 'support': 534}, 'weighted avg': {'precision': 0.4718622539107948, 'recall': 0.4737827715355805, 'f1-score': 0.4691402319792726, 'support': 534}}
